Date,Forecast_future
2022-06-11,2741.573
2022-06-12,2720.7043
2022-06-13,2631.7202
2022-06-14,2705.9426
2022-06-15,2726.229
2022-06-16,2790.923
2022-06-17,2695.1099
2022-06-18,2688.3845
2022-06-19,2723.537
2022-06-20,2696.0413
2022-06-21,2704.147
2022-06-22,2601.2773
2022-06-23,2625.3772
2022-06-24,2589.8176
2022-06-25,2615.5164
2022-06-26,2565.8804
2022-06-27,2601.9336
2022-06-28,2653.3486
2022-06-29,2652.9497
2022-06-30,2645.928
2022-07-01,2806.8613
2022-07-02,2615.409
2022-07-03,2642.4353
2022-07-04,2602.303
2022-07-05,2595.1382
2022-07-06,2522.195
2022-07-07,2633.1895
2022-07-08,2587.7288
2022-07-09,2520.9016
2022-07-10,2576.6145
2022-07-11,2618.0178
2022-07-12,2592.1345
2022-07-13,2528.6633
2022-07-14,2508.6677
2022-07-15,2576.5168
2022-07-16,2524.0198
2022-07-17,2537.659
2022-07-18,2588.3125
2022-07-19,2587.5664
2022-07-20,2643.602
2022-07-21,2759.3196
2022-07-22,2683.8613
2022-07-23,2608.1787
2022-07-24,2564.3127
2022-07-25,2762.1624
2022-07-26,2597.22
2022-07-27,2735.8406
2022-07-28,2659.3606
2022-07-29,2623.377
2022-07-30,2686.3823
2022-07-31,2598.4712
2022-08-01,2618.9521
2022-08-02,2555.89
2022-08-03,2646.357
2022-08-04,2645.7742
2022-08-05,2617.362
2022-08-06,2618.1494
2022-08-07,2489.0742
2022-08-08,2503.412
2022-08-09,2526.643
2022-08-10,2474.5413
2022-08-11,2589.7932
2022-08-12,2466.0762
2022-08-13,2491.3552
2022-08-14,2475.97
2022-08-15,2527.352
2022-08-16,2463.2812
2022-08-17,2390.9783
2022-08-18,2443.294
2022-08-19,2269.4175
2022-08-20,2402.2744
2022-08-21,2350.884
2022-08-22,2350.69
2022-08-23,2552.1987
2022-08-24,2463.362
2022-08-25,2394.7368
2022-08-26,2271.827
2022-08-27,2275.846
2022-08-28,2294.0056
2022-08-29,2249.6963
2022-08-30,2221.8445
2022-08-31,2255.135
2022-09-01,2211.23
2022-09-02,2316.1294
2022-09-03,2281.2263
2022-09-04,2216.0034
2022-09-05,2191.0332
2022-09-06,2216.2998
2022-09-07,2295.7158
2022-09-08,2281.8486
