Date,Forecast_future
2022-06-11,275.6049
2022-06-12,282.2388
2022-06-13,285.21103
2022-06-14,270.62558
2022-06-15,276.45416
2022-06-16,262.1502
2022-06-17,273.86273
2022-06-18,286.65607
2022-06-19,277.737
2022-06-20,290.39307
2022-06-21,272.61166
2022-06-22,272.6745
2022-06-23,284.0317
2022-06-24,268.20306
2022-06-25,266.74915
2022-06-26,277.8998
2022-06-27,283.10788
2022-06-28,296.50183
2022-06-29,270.2625
2022-06-30,277.44992
2022-07-01,288.70016
2022-07-02,310.85175
2022-07-03,271.34506
2022-07-04,269.07416
2022-07-05,278.60526
2022-07-06,283.38394
2022-07-07,283.5884
2022-07-08,293.9192
2022-07-09,296.58167
2022-07-10,287.652
2022-07-11,285.0389
2022-07-12,285.84616
2022-07-13,286.57156
2022-07-14,287.80246
2022-07-15,294.59842
2022-07-16,291.25696
2022-07-17,288.63684
2022-07-18,309.01434
2022-07-19,303.93546
2022-07-20,289.79303
2022-07-21,286.9395
2022-07-22,303.9719
2022-07-23,294.17612
2022-07-24,301.91602
2022-07-25,303.91446
2022-07-26,300.67453
2022-07-27,297.6437
2022-07-28,312.71866
2022-07-29,295.99146
2022-07-30,300.38153
2022-07-31,300.9158
2022-08-01,300.3209
2022-08-02,303.21945
2022-08-03,308.64957
2022-08-04,310.01077
2022-08-05,300.2731
2022-08-06,314.6645
2022-08-07,304.4564
2022-08-08,310.7207
2022-08-09,298.43158
2022-08-10,303.53784
2022-08-11,296.20645
2022-08-12,303.04984
2022-08-13,290.69254
2022-08-14,303.4853
2022-08-15,309.7937
2022-08-16,300.59247
2022-08-17,287.97437
2022-08-18,294.68326
2022-08-19,295.56238
2022-08-20,289.51404
2022-08-21,290.9483
2022-08-22,300.9131
2022-08-23,278.08383
2022-08-24,285.53214
2022-08-25,287.33557
2022-08-26,273.14734
2022-08-27,287.15604
2022-08-28,282.99686
2022-08-29,280.49588
2022-08-30,262.82654
2022-08-31,269.94592
2022-09-01,287.58582
2022-09-02,281.38428
2022-09-03,269.7308
2022-09-04,273.17477
2022-09-05,266.89337
2022-09-06,257.07278
2022-09-07,263.94153
2022-09-08,259.11325
