Date,Forecast_future
2022-06-11,714.04803
2022-06-12,706.8881
2022-06-13,728.5292
2022-06-14,717.8762
2022-06-15,703.5405
2022-06-16,711.322
2022-06-17,735.78674
2022-06-18,704.40845
2022-06-19,714.30536
2022-06-20,687.23956
2022-06-21,704.0467
2022-06-22,683.56995
2022-06-23,699.8208
2022-06-24,691.3909
2022-06-25,673.2694
2022-06-26,689.1113
2022-06-27,690.409
2022-06-28,662.7486
2022-06-29,693.97943
2022-06-30,696.0865
2022-07-01,673.6455
2022-07-02,667.102
2022-07-03,654.4505
2022-07-04,672.00287
2022-07-05,659.1361
2022-07-06,655.9624
2022-07-07,661.9331
2022-07-08,674.5141
2022-07-09,667.9451
2022-07-10,668.8201
2022-07-11,666.70703
2022-07-12,659.7102
2022-07-13,636.9334
2022-07-14,653.5866
2022-07-15,679.51556
2022-07-16,665.23206
2022-07-17,669.77625
2022-07-18,662.0282
2022-07-19,702.3207
2022-07-20,700.01953
2022-07-21,716.37085
2022-07-22,721.13904
2022-07-23,713.05664
2022-07-24,722.80383
2022-07-25,716.63983
2022-07-26,722.2747
2022-07-27,746.4651
2022-07-28,731.1188
2022-07-29,719.41547
2022-07-30,719.9183
2022-07-31,728.1256
2022-08-01,757.6525
2022-08-02,730.5429
2022-08-03,743.3536
2022-08-04,730.98676
2022-08-05,727.3926
2022-08-06,729.4547
2022-08-07,707.6123
2022-08-08,753.5292
2022-08-09,716.85565
2022-08-10,737.3325
2022-08-11,675.1561
2022-08-12,707.6268
2022-08-13,702.29913
2022-08-14,725.3739
2022-08-15,694.85583
2022-08-16,708.8032
2022-08-17,706.9081
2022-08-18,687.0697
2022-08-19,686.9123
2022-08-20,716.5931
2022-08-21,709.28925
2022-08-22,687.8177
2022-08-23,673.7522
2022-08-24,676.4589
2022-08-25,668.52405
2022-08-26,653.96045
2022-08-27,649.5803
2022-08-28,645.32043
2022-08-29,660.576
2022-08-30,624.2005
2022-08-31,677.01385
2022-09-01,637.6335
2022-09-02,661.12524
2022-09-03,654.5861
2022-09-04,637.4245
2022-09-05,659.1881
2022-09-06,625.94965
2022-09-07,668.55133
2022-09-08,646.1442
