,window,units,loss,MSE
0,3,20,0.008945988491177559,30623.60925781825
1,3,30,0.0019410366658121347,6644.489530209329
2,3,40,0.004093042574822903,14011.176054086987
3,3,50,0.007837431505322456,26828.84423926309
4,3,60,0.0021830275654792786,7472.866341333468
5,3,70,0.0036703888326883316,12564.356706473525
6,4,20,0.0025371829979121685,8685.19383223215
7,4,30,0.002395902993157506,8201.573900468771
8,4,40,0.0036250846460461617,12409.275032525235
9,4,50,0.005227284971624613,17893.873456384597
10,4,60,0.002146095037460327,7346.443747969623
11,4,70,0.009228209964931011,31589.711896827866
12,5,20,0.0024266166146844625,8306.715275135817
13,5,30,0.002731338143348694,9349.8246721352
14,5,40,0.00403998140245676,13829.53145874337
15,5,50,0.005825824569910765,19942.775238595943
16,5,60,0.0022955313324928284,7857.98307002414
17,5,70,0.0022987069096416235,7868.854948812427
18,6,20,0.0029900099616497755,10235.302550269425
19,6,30,0.0034952403511852026,11964.794256215268
20,6,40,0.0025455083232373,8713.697244497953
21,6,50,0.00693461624905467,23738.357372028724
22,6,60,0.002772169653326273,9489.597382400247
23,6,70,0.005439745727926493,18621.15003797264
24,7,20,0.003323056735098362,11375.382612263495
25,7,30,0.006834923755377531,23397.090367899338
26,7,40,0.004963625688105822,16991.313239469462
27,7,50,0.005931096617132425,20303.136385391488
28,7,60,0.0047346497885882854,16207.49852632847
29,7,70,0.004905278794467449,16791.58412800696
30,8,20,0.003278981428593397,11224.501101301114
31,8,30,0.003825768595561385,13096.24615427388
32,8,40,0.0032107720617204905,10991.009193984999
33,8,50,0.004487154074013233,15360.283026288946
34,8,60,0.0046804859302937984,16022.08683166239
35,8,70,0.005960365291684866,20403.32035078373
36,9,20,0.004360867664217949,14927.980801591608
37,9,30,0.00455174595117569,15581.388982748986
38,9,40,0.005928638856858015,20294.723437740075
39,9,50,0.005533044692128897,18940.537576372757
40,9,60,0.00310521456412971,10629.66363442474
41,9,70,0.0069327587261796,23731.99552572767
42,10,20,0.0067090741358697414,22966.28326896926
43,10,30,0.005941313691437244,20338.109821310307
44,10,40,0.0031952213030308485,10937.775240241157
45,10,50,0.0035989009775221348,12319.638257417744
46,10,60,0.004345997702330351,14877.069240482648
47,10,70,0.008073725737631321,27637.70082078046
48,11,20,0.0053471848368644714,18304.30861327635
49,11,30,0.006940827704966068,23759.61729656651
50,11,40,0.00341007555834949,11673.24953687624
51,11,50,0.003448974573984742,11806.414309057443
52,11,60,0.00535552715882659,18332.8627086062
53,11,70,0.008680523373186588,29714.863758136442
54,12,20,0.008026746101677418,27476.89003242061
55,12,30,0.00398636469617486,13645.988227258182
56,12,40,0.005325076170265675,18228.62050374826
57,12,50,0.0039828624576330185,13634.003552646278
58,12,60,0.0045052687637507915,15422.290495098303
59,12,70,0.00526984129101038,18039.5450527981
60,13,20,0.005003178026527166,17126.71086872523
61,13,30,0.003647595178335905,12486.325194088107
62,13,40,0.004591384436935186,15717.07305391008
63,13,50,0.003606872633099556,12346.926758673271
64,13,60,0.0073265815153717995,25080.107703670445
65,13,70,0.004563204012811184,15620.60971520067
66,14,20,0.004697415046393871,16080.032338362062
67,14,30,0.003951310645788908,13525.994930680548
68,14,40,0.0076818023808300495,26296.0984906946
69,14,50,0.004351526498794556,14895.997434394412
70,14,60,0.010683071799576283,36569.93497906843
71,14,70,0.008942751213908195,30612.524287961172
72,15,20,0.0076665920205414295,26244.030510912784
73,15,30,0.005415865685790777,18539.410723655747
74,15,40,0.009145518764853477,31306.634032135935
75,15,50,0.005608106032013893,19197.48041127873
76,15,60,0.009242469444870949,31638.516830155353
77,15,70,0.004154370166361332,14221.095591061905
78,16,20,0.00864473171532154,29592.374132913486
79,16,30,0.00533003406599164,18245.599689002116
80,16,40,0.005303966347128153,18156.361794072924
81,16,50,0.007608958054333925,26046.73344482197
82,16,60,0.00514817563816905,17623.064650167576
83,16,70,0.0041088201105594635,14065.174399632417
84,17,20,0.006798556074500084,23272.590585935588
85,17,30,0.004427857231348753,15157.292072666904
86,17,40,0.007443524431437254,25480.42884708697
87,17,50,0.005547109059989452,18988.679319758874
88,17,60,0.007068081758916378,24195.23361891003
89,17,70,0.00494749890640378,16936.114456186187
90,18,20,0.00450597470626235,15424.699688626884
91,18,30,0.006596115417778492,22579.609943659965
92,18,40,0.0053168232552707195,18200.36871893864
93,18,50,0.019048886373639107,65207.523428701075
94,18,60,0.004870908800512552,16673.932895423328
95,18,70,0.0066018179059028625,22599.11965257704
96,19,20,0.004485179670155048,15353.516927599907
97,19,30,0.008140857331454754,27867.51001659322
98,19,40,0.004473147448152304,15312.324983415967
99,19,50,0.004728817380964756,16187.522889652495
100,19,60,0.010601726360619068,36291.484842075464
101,19,70,0.005821712780743837,19928.694664579325
102,20,20,0.00941416621208191,32226.26299345089
103,20,30,0.011982877738773823,41019.38740864278
104,20,40,0.007957476191222668,27239.758899965866
105,20,50,0.008318860083818436,28476.847438030996
106,20,60,0.005158889573067427,17659.73042957291
107,20,70,0.006517734378576279,22311.292505384165
