,window,units,loss,MSE
0,3,20,0.023081883788108826,667.815324502076
1,3,30,0.005356770474463701,154.98449484170112
2,3,40,0.005223111715167761,151.1174003751526
3,3,50,0.011921223253011703,344.91015654207575
4,3,60,0.003722957568243146,107.7142257595775
5,3,70,0.007411288097500801,214.4266360780163
6,4,20,0.009678376838564873,280.01914435283686
7,4,30,0.0031623116228729486,91.4934352596319
8,4,40,0.005790778435766697,167.54132418271067
9,4,50,0.006326702423393726,183.04697161959098
10,4,60,0.002869098912924528,83.01003867142721
11,4,70,0.010078215040266514,291.5874994842269
12,5,20,0.004965616390109062,143.6674059928313
13,5,30,0.005154164507985115,149.1225802492857
14,5,40,0.004443335346877575,128.55646385567377
15,5,50,0.006962165702134371,201.4324837552103
16,5,60,0.0031286824960261583,90.52046746764982
17,5,70,0.0036600511521101,105.89425491576613
18,6,20,0.0034878947772085667,100.91331188604548
19,6,30,0.005161427892744541,149.33274850600594
20,6,40,0.0036356844939291477,105.18924206654152
21,6,50,0.006688976660370827,193.5284458021839
22,6,60,0.004365622065961361,126.30809774236288
23,6,70,0.0038847574032843113,112.3954891657601
24,7,20,0.004107411485165358,118.83745219226178
25,7,30,0.006230656988918781,180.26815335820172
26,7,40,0.007120221853256226,206.00539485083172
27,7,50,0.004953896626830101,143.32830797254573
28,7,60,0.004766191355884075,137.89754827324455
29,7,70,0.013290120288729668,384.515752709432
30,8,20,0.004274429753422737,123.66973255459585
31,8,30,0.004837452434003353,139.95932807468347
32,8,40,0.004317335784435272,124.91110258617104
33,8,50,0.004448810126632452,128.71500411698753
34,8,60,0.0054216948337852955,156.86288266392788
35,8,70,0.004070655908435583,117.77401542344599
36,9,20,0.005727615673094988,165.71396037915255
37,9,30,0.005112245678901672,147.9097366607878
38,9,40,0.006837105844169855,197.81416174350048
39,9,50,0.007160496897995472,207.17060346568985
40,9,60,0.004940528888255358,142.94155677841826
41,9,70,0.008244168013334274,238.52398772696426
42,10,20,0.006919508334249258,200.19831031915575
43,10,30,0.005689780693501234,164.6192973916186
44,10,40,0.0048555415123701096,140.48270999496134
45,10,50,0.004973845090717077,143.90553623870176
46,10,60,0.009098852053284645,263.2520700724899
47,10,70,0.01315823569893837,380.7000148537078
48,11,20,0.005425234325230122,156.96533679252224
49,11,30,0.006534387357532978,189.05577458460252
50,11,40,0.005194953177124262,150.30269276564317
51,11,50,0.004956524353474379,143.40435763383704
52,11,60,0.009245850145816803,267.5050762977748
53,11,70,0.009489120915532112,274.54349953617367
54,12,20,0.006999276112765074,202.50622867412775
55,12,30,0.0053735231049358845,155.4692069144956
56,12,40,0.005323971156030893,154.03551841006154
57,12,50,0.007324231322854757,211.90792194588175
58,12,60,0.006118302699178457,177.01744005242992
59,12,70,0.012215213850140572,353.41595328567746
60,13,20,0.005802798550575972,167.8891456832605
61,13,30,0.005299365147948265,153.3235864221306
62,13,40,0.005634795408695936,163.02847041914183
63,13,50,0.005884334910660982,170.24824634895992
64,13,60,0.005343276541680098,154.59412201386542
65,13,70,0.006902382243424654,199.70287386632617
66,14,20,0.005894957110285759,170.55555450962598
67,14,30,0.005717772990465164,165.42914992064146
68,14,40,0.0063316901214420795,183.19133393723638
69,14,50,0.005312270484864712,153.69694941647595
70,14,60,0.007755575701594353,224.38786464901594
71,14,70,0.006472775712609291,187.27319672867253
72,15,20,0.0072388434782624245,209.43741378394546
73,15,30,0.006292989477515221,182.07160980628254
74,15,40,0.007588519249111414,219.55447819420098
75,15,50,0.005739880260080099,166.06888583859464
76,15,60,0.006009240634739399,173.86203829818828
77,15,70,0.006251264829188585,180.86441177351332
78,16,20,0.0067110867239534855,194.16816806467514
79,16,30,0.006503781769424677,188.1702648667551
80,16,40,0.005938604474067688,171.81834526358207
81,16,50,0.006187475752085447,179.0188230008876
82,16,60,0.005765217822045088,166.80189105627403
83,16,70,0.0056638228707015514,163.86829033268756
84,17,20,0.0071799261495471,208.1458482641944
85,17,30,0.005974792409688234,173.20901970324087
86,17,40,0.006635237019509077,192.35536849263292
87,17,50,0.006232401821762323,180.67707715064338
88,17,60,0.006835593841969967,198.16368773283625
89,17,70,0.009990890510380268,289.6355755394982
90,18,20,0.006787207908928394,196.7609056367878
91,18,30,0.007002190686762333,202.9933455878539
92,18,40,0.007030467037111521,203.81286404162702
93,18,50,0.009822630323469639,284.75772816193484
94,18,60,0.006093025207519531,176.63657955908747
95,18,70,0.01893175020813942,548.8305895964629
96,19,20,0.006623669061809778,192.0198620448212
97,19,30,0.007184149697422981,208.26824018335273
98,19,40,0.007544165942817926,218.70515568853534
99,19,50,0.006478005088865757,187.79712142091586
100,19,60,0.006862179841846228,198.93442856592242
101,19,70,0.006012739613652229,174.3091196378899
102,20,20,0.007749493699520826,224.65762312834732
103,20,30,0.008910047821700573,258.30207317861027
104,20,40,0.008927891030907631,258.81916513086446
105,20,50,0.012675306759774685,367.4566040171807
106,20,60,0.006732145324349403,195.16470617570232
107,20,70,0.006554148159921169,190.00456679551633
